Source,Date,MJD,Fit Coeff.,Log Fit,Defect,Frequency [GHz],Flux Density [Jy],Flux Density Error [Jy],Spectral Index,Closure Phase
1424-418,2009-Apr-24,54945.0,"5.157E-01,-2.479E-01",Y,0.1%,5.5,2.149,0.013,-0.248,0.4° ± 0.5°
1424-418,2009-Apr-24,54945.0,"5.157E-01,-2.479E-01",Y,0.1%,9.0,1.902,0.013,-0.248,0.2° ± 0.6°
1424-418,2009-Feb-15,54877.0,"5.194E-01,-2.277E-01",Y,0%,4.8,2.314,0.004,-0.228,0.5° ± 1°
1424-418,2009-Feb-15,54877.0,"5.194E-01,-2.277E-01",Y,0%,8.64,2.024,0.004,-0.228,0.4° ± 0.9°
1424-418,2009-Jan-21,54852.0,"1.479E+00,-2.441E+00,1.119E+00",Y,0.1%,4.8,2.165,0.01,-0.916,0.9° ± 1.4°
1424-418,2009-Jan-21,54852.0,"1.479E+00,-2.441E+00,1.119E+00",Y,0.1%,8.64,1.494,0.01,-0.345,1.9° ± 3.2°
1424-418,2008-Dec-16,54816.0,"7.721E-01,-7.994E-01,3.551E-01",Y,0%,4.8,2.468,0.004,-0.316,0.1° ± 0.9°
1424-418,2008-Dec-16,54816.0,"7.721E-01,-7.994E-01,3.551E-01",Y,0%,8.64,2.162,0.004,-0.134,0.2° ± 1.3°
1424-418,2008-Oct-13,54752.0,"2.265E-01,5.353E-01,-4.533E-01",Y,3.1%,4.8,2.403,0.003,-0.082,2° ± 2.8°
1424-418,2008-Oct-13,54752.0,"2.265E-01,5.353E-01,-4.533E-01",Y,3.1%,8.64,2.139,0.003,-0.314,2.9° ± 3.8°
1424-418,2008-May-28,54614.0,"1.182E+00,-1.792E+00,1.043E+00",Y,0%,8.64,2.621,0.004,0.162,0.2° ± 0.6°
1424-418,2008-May-28,54614.0,"1.182E+00,-1.792E+00,1.043E+00",Y,0%,4.8,2.788,0.004,-0.371,0.4° ± 0.9°
1424-418,2008-Mar-14,54539.0,"4.647E-01,-1.028E-01",Y,0%,4.8,2.481,0.005,-0.103,1.2° ± 1.7°
1424-418,2008-Mar-14,54539.0,"4.647E-01,-1.028E-01",Y,0%,8.64,2.336,0.005,-0.103,1.8° ± 3.1°
1424-418,2008-Jan-11,54476.0,"-2.255E-01,1.803E+00,-1.258E+00",Y,0%,4.8,2.624,0.01,0.089,1.4° ± 1.9°
1424-418,2008-Jan-11,54476.0,"-2.255E-01,1.803E+00,-1.258E+00",Y,0%,8.64,2.289,0.01,-0.553,2.6° ± 3.4°
1424-418,2007-Nov-01,54405.0,"7.738E-01,-7.060E-01,3.099E-01",Y,0%,4.8,2.733,0.006,-0.284,0.3° ± 1.1°
1424-418,2007-Nov-01,54405.0,"7.738E-01,-7.060E-01,3.099E-01",Y,0%,8.64,2.423,0.006,-0.126,1.2° ± 2°
1424-418,2005-Aug-16,53598.0,"4.785E-01,7.254E-02",Y,0%,4.8,3.372,0.003,0.073,0.1° ± 0.6°
1424-418,2005-Aug-16,53598.0,"4.785E-01,7.254E-02",Y,0%,8.64,3.519,0.003,0.073,0.1° ± 0.4°
1424-418,2005-May-04,53494.0,"1.278E-01,9.387E-01,-5.339E-01",Y,0%,4.8,3.308,0.004,0.211,0.2° ± 0.8°
1424-418,2005-May-04,53494.0,"1.278E-01,9.387E-01,-5.339E-01",Y,0%,8.64,3.457,0.004,-0.061,0.2° ± 0.4°
1424-418,2004-Jan-18,53022.0,"1.844E-01,3.865E-01",Y,0%,4.8,2.803,0.005,0.387,2° ± 2.7°
1424-418,2004-Jan-18,53022.0,"1.844E-01,3.865E-01",Y,0%,8.64,3.519,0.005,0.387,2.3° ± 2.8°
1424-418,2021-Aug-02,59428.0,"5.866E-01,-7.259E-01,7.004E-01",Y,0.4%,2.1,2.663,0.144,-0.275,0.5° ± 0.8°
1424-418,2021-Jun-06,59371.0,"5.262E-01,-4.359E-01,2.695E-01",Y,0.2%,2.1,2.593,0.071,-0.262,-0.7° ± 1.1°
1424-418,2020-Apr-13,58952.0,"6.540E-01,-3.857E-01,9.386E-02",Y,0.1%,2.1,3.463,0.026,-0.325,0.7° ± 0.7°
1424-418,2018-Jan-22,58140.0,"6.259E-01,6.394E-02,3.901E-01",Y,0%,2.1,4.864,0.051,0.315,0.5° ± 0.6°
1424-418,2016-Jun-06,57545.0,"7.059E-01,-5.711E-01,1.714E+00,-1.584E+00",Y,0.5%,2.1,4.435,0.027,0.04,0.1° ± 0.4°
1424-418,2014-Feb-02,56690.0,"6.300E-01,4.293E-02,3.012E-01",Y,0.1%,2.1,4.733,0.022,0.237,0.3° ± 0.5°
1424-418,2012-Oct-25,56225.0,"5.240E-01,-5.746E-01,1.103E+00,-2.577E-01",Y,0.2%,2.1,2.785,0.03,0.056,0.6° ± 0.8°
1424-418,2009-Sep-02,55076.0,"5.789E-01,-8.375E-01,1.128E+00",Y,0.2%,1.75,2.767,0.043,-0.289,0° ± 2.5°
1424-418,2008-Nov-13,54783.0,"8.776E-01,-5.066E+00,2.053E+01,-2.662E+01",Y,0.1%,1.384,3.138,0.032,-0.862,-1.2° ± 2.2°
1424-418,2008-Nov-13,54783.0,"8.776E-01,-5.066E+00,2.053E+01,-2.662E+01",Y,0.1%,2.368,2.895,0.032,-0.887,-0.5° ± 1.1°
1424-418,2007-Nov-29,54433.0,"5.484E-01,-1.765E-01",Y,0.1%,1.384,3.338,0.024,-0.176,-0.1° ± 4.1°
1424-418,2007-Nov-29,54433.0,"5.484E-01,-1.765E-01",Y,0.1%,2.368,3.036,0.024,-0.176,0.6° ± 1.2°
1424-418,1995-Feb-10,49758.0,"5.848E-01,-3.161E-01",Y,0.1%,1.38,3.472,0.034,-0.316,-0.1° ± 3.6°
1424-418,1995-Feb-10,49758.0,"5.848E-01,-3.161E-01",Y,0.1%,2.378,2.923,0.034,-0.316,-0.8° ± 1.2°
1424-418,1995-Jan-08,49725.0,"6.025E-01,-3.169E-01",Y,0.1%,2.378,3.043,0.02,-0.317,0.8° ± 1.3°
1424-418,1995-Jan-08,49725.0,"6.025E-01,-3.169E-01",Y,0.1%,1.38,3.616,0.02,-0.317,0.3° ± 1.4°
